,Vanilla BO,RGPE,cBO target-clf,cBO RGPE-vote,cBO equal-vote
100_ST100MD0-N2H0-30-2_L76_0.4_10000_S235JR,116.31295772820408,155.6642655916253,155.6642655916253,165.36914962138033,173.9212935779877
100_ST100MD0-N2H0-30-2_L76_0.4_10000_16Mo3,183.35358385551885,177.84403521454684,177.84403521454684,198.60780266180043,175.83459670981543
100_ST100MD0-N2H0-30-2_L95_0.7_10000_S355JR,75.11178496273735,75.11178496273735,75.11178496273735,75.80654946394462,74.69343597834659
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S235JR,227.1530436227109,255.13471784008243,255.13471784008243,235.5949242874616,235.86452699924834
150_ST150MD0-N2H0-30-2_L76_0.4_10000_16Mo3,437.6308990338263,372.05202291075807,424.94810414430975,408.1090104495416,438.5274723856939
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S355J2,572.8695868934107,503.41388031964897,558.2846122233987,597.5775205493533,558.2846122233987
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H400,807.5183457339532,733.2083942771756,744.0360325198739,839.3291912335129,839.3291912335129
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H450,987.6748744852983,783.4456507240026,790.9198283708739,870.9134983230057,829.3053737593074
30_ST030MD4-N2S0-30-2_L26_0.5_6000_S235JR,12.169065896323646,16.235072449855537,16.235072449855537,12.586649338132702,12.586649338132702
50_ST050MD4-N2S0-30-2_L26_0.5_6000_S235JR,25.042008618126342,45.85979313359607,66.23716958961836,108.59819068610477,108.59819068610477
50_ST050MD5-N2S0-30-2_L76_4.0_10000_S235JR,119.7886667528727,122.3017872487113,127.61447992229556,117.51538447414963,117.51538447414963
60_ST060MD0-N2H0-30-2_L76_0.6_10000_16Mo3,51.963214736020426,46.226207331235116,54.30079784890398,52.72054892487183,53.3478770770955
60_ST060MD0-N2H0-30-2_L76_0.6_10000_DST400,61.9459949802065,63.33844730287569,66.31110630864617,64.68436041415798,65.13533765749374
60_ST060MD0-N2H0-30-2_L76_0.6_10000_S355J2,44.264858238919494,41.61509943648108,51.50595528195861,52.908019977177396,52.908019977177396
60_ST060MD0-N2H0-30-2_L76_0.7_6000_16Mo3,49.264710415671765,60.869492514148625,60.869492514148625,63.1752618442596,60.869492514148625
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S235JR,92.12681902354875,113.8436485317219,113.8436485317219,117.8391949281446,114.67885621850974
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S355,105.68350297398509,125.58743317687315,125.58743317687315,125.58743317687315,121.13710093465566
80_ST080MD0-N2H0-30-2_L76_0.4_6000_S355,151.47137793278728,167.93187249566688,178.93298155202675,178.93298155202675,178.93298155202675
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S235JR,114.44651131537158,121.39991540861634,121.39991540861634,123.41400502452744,123.05159544221192
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S355,145.80267359842424,142.38166127730096,142.38166127730096,159.00709544666452,168.75634310562899
80_ST080MD5-N2S0-30-2_L95_4.0_6000_S355J2,161.13779636956315,148.40504218847587,148.40504218847587,148.40504218847587,148.40504218847587
