,Vanilla BO,RGPE,beta=0,beta=0.25,beta=0.5,beta=1,beta=2,beta=4,beta=8
100_ST100MD0-N2H0-30-2_L76_0.4_10000_S235JR,116.31295772820408,155.6642655916253,155.6642655916253,173.9212935779877,173.9212935779877,165.36914962138033,166.60556946492224,171.26375990713248,171.26375990713248
100_ST100MD0-N2H0-30-2_L76_0.4_10000_16Mo3,183.35358385551885,177.84403521454684,177.84403521454684,177.84403521454684,177.84403521454684,198.60780266180043,153.66443035484056,200.8830839290787,205.5129927205716
100_ST100MD0-N2H0-30-2_L95_0.7_10000_S355JR,75.11178496273735,75.11178496273735,75.11178496273735,73.99867147713933,75.11178496273735,75.80654946394462,80.99889184293436,67.13779611017107,76.75041167173623
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S235JR,227.1530436227109,255.13471784008243,255.13471784008243,257.12136962373046,235.86452699924834,235.5949242874616,236.6687159583847,227.1530436227109,227.1530436227109
150_ST150MD0-N2H0-30-2_L76_0.4_10000_16Mo3,437.6308990338263,372.05202291075807,426.6524110128612,449.2512798351689,438.5274723856939,408.1090104495416,429.72757391450455,454.4892458352747,454.4892458352747
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S355J2,572.8695868934107,503.41388031964897,568.6077993958022,511.10128851275164,558.2846122233987,597.5775205493533,597.5775205493533,623.3152705023884,627.3580334725857
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H400,807.5183457339532,733.2083942771756,727.2790346376725,779.0896246642111,804.9949196774804,839.3291912335129,948.376798328255,958.9588061563873,999.3378701390644
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H450,987.6748744852983,783.4456507240026,655.6172487357013,749.2746079657018,820.3453006185731,870.9134983230057,944.4568942859468,1110.2991198321174,1119.595894839026
30_ST030MD4-N2S0-30-2_L26_0.5_6000_S235JR,12.169065896323646,16.235072449855537,16.235072449855537,12.810997544368306,12.810997544368306,12.586649338132702,15.924189734986198,16.736542408951102,16.736542408951102
50_ST050MD4-N2S0-30-2_L26_0.5_6000_S235JR,25.042008618126342,45.85979313359607,60.44570864350294,90.02007411324597,108.59819068610477,108.59819068610477,108.59819068610477,80.33732475566043,70.82889425234976
50_ST050MD5-N2S0-30-2_L76_4.0_10000_S235JR,119.7886667528727,122.3017872487113,114.48761173168646,119.04670958884081,117.51538447414963,117.51538447414963,125.68307447596207,112.06962089736724,112.06962089736724
60_ST060MD0-N2H0-30-2_L76_0.6_10000_16Mo3,51.963214736020426,46.226207331235116,53.94437581247637,50.23765586707898,52.755541986997684,52.72054892487183,55.02550754020178,55.02550754020178,55.02550754020178
60_ST060MD0-N2H0-30-2_L76_0.6_10000_DST400,61.9459949802065,63.33844730287569,65.73308232362484,64.33544727992107,64.21731714824995,64.68436041415798,65.72010126904796,65.72010126904796,65.72010126904796
60_ST060MD0-N2H0-30-2_L76_0.6_10000_S355J2,44.264858238919494,41.61509943648108,51.02535574156556,51.44345877549221,52.700650438223526,52.908019977177396,52.908019977177396,52.908019977177396,52.908019977177396
60_ST060MD0-N2H0-30-2_L76_0.7_6000_16Mo3,49.264710415671765,60.869492514148625,60.869492514148625,63.1752618442596,60.869492514148625,63.1752618442596,61.98464628134377,64.95822579570121,64.95822579570121
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S235JR,92.12681902354875,113.8436485317219,113.8436485317219,120.35289478210466,118.77244666922725,117.8391949281446,120.35289478210466,120.35289478210466,120.35289478210466
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S355,105.68350297398509,125.58743317687315,125.58743317687315,122.24330642824441,125.5791351860807,125.58743317687315,125.71330948049841,125.71330948049841,125.71330948049841
80_ST080MD0-N2H0-30-2_L76_0.4_6000_S355,151.47137793278728,167.93187249566688,178.93298155202675,178.93298155202675,173.47359604550698,178.93298155202675,180.91696141200165,180.91696141200165,180.91696141200165
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S235JR,114.44651131537158,121.39991540861634,123.58619982663969,123.05159544221192,123.05159544221192,123.41400502452744,123.41400502452744,125.60028944255077,125.2779264142333
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S355,145.80267359842424,142.38166127730096,142.38166127730096,161.9528263055956,157.1536905658792,159.00709544666452,163.196452741476,161.64324935835495,161.8192156952499
80_ST080MD5-N2S0-30-2_L95_4.0_6000_S355J2,161.13779636956315,148.40504218847587,148.40504218847587,144.13623515221508,144.13623515221508,148.40504218847587,112.0728534789259,168.8284672416577,111.75333219067791
