,Vanilla BO,RGPE,beta=0,beta=0.25,beta=0.5,beta=1,beta=2,beta=4,beta=8
100_ST100MD0-N2H0-30-2_L76_0.4_10000_S235JR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_ST100MD0-N2H0-30-2_L76_0.4_10000_16Mo3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_ST100MD0-N2H0-30-2_L95_0.7_10000_S355JR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S235JR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150_ST150MD0-N2H0-30-2_L76_0.4_10000_16Mo3,1.6666666666666667,3.6666666666666665,21.333333333333332,18.666666666666668,1.0,1.0,1.0,1.0,1.0
150_ST150MD0-N2H0-30-2_L76_0.4_10000_S355J2,1.0,2.3333333333333335,16.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H400,2.3333333333333335,3.0,14.333333333333334,5.0,1.0,1.0,1.0,1.0,1.0
150_ST150MD0-N2H0-30-2_L76_0.4_10000_H450,3.0,3.3333333333333335,29.0,3.0,5.333333333333333,1.0,1.0,1.0,1.0
30_ST030MD4-N2S0-30-2_L26_0.5_6000_S235JR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50_ST050MD4-N2S0-30-2_L26_0.5_6000_S235JR,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
50_ST050MD5-N2S0-30-2_L76_4.0_10000_S235JR,5.333333333333333,6.666666666666667,2.0,5.0,5.0,2.0,10.0,2.0,2.0
60_ST060MD0-N2H0-30-2_L76_0.6_10000_16Mo3,2.6666666666666665,3.0,12.333333333333334,2.0,2.0,2.0,2.0,2.0,2.0
60_ST060MD0-N2H0-30-2_L76_0.6_10000_DST400,3.0,4.333333333333333,3.0,2.0,2.0,2.0,2.0,2.0,2.0
60_ST060MD0-N2H0-30-2_L76_0.6_10000_S355J2,2.3333333333333335,2.6666666666666665,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
60_ST060MD0-N2H0-30-2_L76_0.7_6000_16Mo3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S235JR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_ST080MD0-N2H0-30-2_L76_0.4_10000_S355,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
80_ST080MD0-N2H0-30-2_L76_0.4_6000_S355,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S235JR,1.3333333333333333,0.6666666666666666,10.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
80_ST080MD5-N2S0-30-2_L76_4.0_10000_S355,2.0,0.3333333333333333,6.666666666666667,7.333333333333333,0.0,0.0,0.0,0.0,0.0
80_ST080MD5-N2S0-30-2_L95_4.0_6000_S355J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
