thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,8.5,1.8,6,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,7.5,-6.8,8,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,8.5,-5.8,6,1
80,ST080MD0-N2H0-30-2,0.4,12000,Unknown,L26,9,-6.8,6,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-5.4,9,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-6.7,10.5,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-7.5,9,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,1,10,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-1,8,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-4.5,11,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-5.5,10,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,4.5,-7.5,6,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,3.6,-4.1,8,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-1.5,10.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-6.7,6.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,2.5,-4.1,5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,1.1,10.5,1
80,ST080MD0-N2H0-30-2,0.4,6000,S355,L76,4.4,0.4,6,1
80,ST080MD0-N2H0-30-2,0.4,6000,S355,L76,4.4,1.4,3,1
80,ST080MD0-N2H0-30-2,0.4,6000,S355,L76,3.9,1.4,7.5,1
80,ST080MD0-N2H0-30-2,0.4,6000,S355,L76,4.4,1.4,7.5,1
80,ST080MD0-N2H0-30-2,0.4,6000,S355,L76,4.4,0.4,7.5,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,7.6,-6,24,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-6,16,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-5,20,1
