,Vanilla BO,RGPE,cBO target-clf,cBO RGPE-vote,cBO equal-vote
task00_V019.5_qm0.227,5.85735976255939,0.054875359513396484,0.0643624988694232,0.01737205729339297,0.04225436496968223
task01_V154.6_qm0.107,0.04755646057886609,1.1749322231514858,1.2174311216287974,0.5800869291711541,0.38675188499538465
task02_V013.1_qm0.317,0.10484995960264605,0.0746042530032769,0.07825992201520487,0.011505072057644977,0.011869450622407296
task03_V118.0_qm0.083,0.03788138180553845,0.049448199428616606,0.5950132169209147,0.15957233443547203,0.09218267479156295
task04_V043.0_qm0.451,0.05008279729446433,0.035009523254508755,0.13130219343404573,0.12386231769978955,0.13230488936579998
task05_V016.3_qm0.161,7.400682421351401,0.041773180485978396,0.06380112002934896,0.025482807917294698,0.03123518535400728
task06_V067.1_qm0.066,0.04314710678972522,0.048381392258819954,0.15254438400041,0.12223802763425284,0.11803511897461617
task07_V096.2_qm0.299,0.03921892618280799,0.03403813716732824,0.05625284594581164,0.18721653853874998,0.08701353493737458
task08_V028.1_qm0.156,0.03589523704116431,0.042780608943524374,0.10872282920541056,0.02316592308966287,0.026069138617725657
task09_V047.1_qm0.054,0.05648849538388621,0.05066593986926898,0.16873445568393544,0.12129261787967939,0.06961293742150891
