,Vanilla BO,RGPE,cBO target-clf,cBO RGPE-vote,cBO equal-vote
task00_V019.5_qm0.227,19.666666666666668,7.0,9.333333333333334,6.666666666666667,7.666666666666667
task01_V154.6_qm0.107,14.0,15.0,24.0,28.0,28.0
task02_V013.1_qm0.317,10.333333333333334,5.666666666666667,14.0,5.333333333333333,4.666666666666667
task03_V118.0_qm0.083,15.0,9.333333333333334,26.333333333333332,26.333333333333332,26.333333333333332
task04_V043.0_qm0.451,12.333333333333334,6.0,16.0,13.0,11.0
task05_V016.3_qm0.161,18.333333333333332,6.333333333333333,12.666666666666666,5.0,4.0
task06_V067.1_qm0.066,12.0,7.333333333333333,12.333333333333334,13.666666666666666,12.333333333333334
task07_V096.2_qm0.299,10.666666666666666,8.666666666666666,18.0,23.333333333333332,21.666666666666668
task08_V028.1_qm0.156,12.0,7.0,13.0,9.0,11.0
task09_V047.1_qm0.054,11.666666666666666,6.333333333333333,10.0,15.666666666666666,13.0
